		INDEX	START	END
IDLE		0	0	180
RUN		1	181	199
ATK01		2	200	251
ATK02		3	252	292
ATK03		4	293	370
ATK04		5	371	407
KnockBack	6	408	477
KnockDown	7	478	496
KnockUp		8	497	515
Evade		9	516	552
Skill01_01	10	553	649
Skill01_02	11	650	787
Skill02		12	788	822
Skill03_01	13	823	906
Skill03_02	14	907	1084
Skill04_01	15	1085	1139
Skill04_02	16	1140	1217
Skill04_03	17	1218	1405
Victory		18	1406	1526
WP_Skill01	19	1527	1737
Dead		20	1738	1805
GuardStart	21	1806	1809
GuardLoop	22	1810	1899
GuardDmg	23	1900	1917
GuardBreak	24	1918	1940
GuardEnd	25	1941	1943
CounterATK01	26	1944	1979
CounterATK02	27	1980	2023
Walk		28	2024	2058
